,Name,link
0,Ciencia y Naturaleza,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9571909011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_6
0,Comics y Novelas Gráficas,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572005011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_7
0,Computadoras,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572008011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_8
0,Cuentos Populares y Mitos,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572016011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_9
0,Deportes y Actividades,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572035011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_10
0,Historia y Ficción Histórica,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572096011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_11
0,Humor,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572141011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_12
0,Literatura,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572145011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_13
0,Misterio y Espías,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572156011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_14
0,Personas y Lugares,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572157011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_15
0,Referencia y No Ficción,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572334011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_16
0,Religión,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572358011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_17
0,Vacaciones y Festivales,https://www.amazon.com.mx//s?bbn=9571770011&rh=n%3A9298576011%2Cn%3A9571770011%2Cn%3A9572393011&dc&qid=1609292825&rnid=9571770011&ref=lp_9571770011_nr_n_18
0,Acción y Aventura,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575667011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_0
0,Clásicos de Ficción,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575668011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_1
0,Crítica y Teoría Literarias,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575669011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_2
