,Name,link
0,"Blancos para el Hogar
",https://www.amazon.com.mx/b?ie=UTF8&node=9757431011&ref_=sd_allcat_textiles
0,"Baño
",https://www.amazon.com.mx/b?ie=UTF8&node=9756950011&ref_=sd_allcat_bath
0,"Climatización y Calefacción
",https://www.amazon.com.mx/b?ie=UTF8&node=9725442011&ref_=sd_allcat_climate
0,"Decoración del Hogar
",https://www.amazon.com.mx/b?ie=UTF8&node=9757037011&ref_=sd_allcat_arts_decor
0,"Iluminación
",https://www.amazon.com.mx/b?ie=UTF8&node=9939347011&ref_=sd_allcat_arts_light
0,Arte y Manualidades,https://www.amazon.com.mx/b?ie=UTF8&node=10201738011&ref_=sd_allcat_arts_crafts
0,Cuidado del Hogar y Limpieza,https://www.amazon.com.mx/b?ie=UTF8&node=11525771011&ref_=sd_allcat_cleanning_supplies
0,Jardín,https://www.amazon.com.mx/jardin/b?ie=UTF8&node=16215357011&ref_=sd_allcat_garden
0,"Todo en Hogar y Cocina
",https://www.amazon.com.mx/hogar-y-cocina/b?ie=UTF8&node=9482593011&ref_=sd_allcat_all_kitchen
0,Mesa de Regalos de Boda,https://www.amazon.com.mx/wedding/home?_encoding=UTF8&ref_=sd_allcat_weddingregistry
0," Herramientas Manuales y Eléctricas
",https://www.amazon.com.mx/b?ie=UTF8&node=9828215011&ref_=sd_allcat_hi_powhand
0,Accesorios de Herramientas,https://www.amazon.com.mx/b?ie=UTF8&node=9828216011&ref_=sd_allcat_hi_access_tools
0,"Ferretería
",https://www.amazon.com.mx/b?ie=UTF8&node=9827751011&ref_=sd_allcat_hi_ferret
0,Electricidad,https://www.amazon.com.mx/b?ie=UTF8&node=9827671011&ref_=sd_allcat_hi_electricity
0,"Protección y Seguridad
",https://www.amazon.com.mx/b?ie=UTF8&node=9829579011&ref_=sd_allcat_hi_safety
0,"Almacenamiento y Organización
",https://www.amazon.com.mx/b?ie=UTF8&node=9829500011&ref_=sd_allcat_hi_storage
0,Equipamiento de Baños y Cocinas,https://www.amazon.com.mx/b?ie=UTF8&node=9828088011&ref_=sd_allcat_bathequip
0," Todo en Herramientas y Mejoras del Hogar
",https://www.amazon.com.mx/hogar-y-bricolaje/b?ie=UTF8&node=9482670011&ref_=sd_allcat_all_home_tools
0,Accesorios para Coche,https://www.amazon.com.mx/b?ie=UTF8&node=14327167011&ref_=sd_allcat_nav_auto_accessories
0,Cuidado y Mantenimiento,https://www.amazon.com.mx/b?ie=UTF8&node=14327169011&ref_=sd_allcat_nav_auto_care
0,Aceites y Fluidos,https://www.amazon.com.mx/b?ie=UTF8&node=14327168011&ref_=sd_allcat_nav_auto_fluids
0,"Partes y Refacciones para Coche
",https://www.amazon.com.mx/b?ie=UTF8&node=14327176011&ref_=sd_allcat_nav_auto_parts
0,Herramientas,https://www.amazon.com.mx/b?ie=UTF8&node=14327172011&ref_=sd_allcat_nav_auto_tools
0,"Motocicletas, Accesorios y Piezas",https://www.amazon.com.mx/b?ie=UTF8&node=14327173011&ref_=sd_allcat_nav_motorbikes
0,Todo en Automotriz y Motocicletas,https://www.amazon.com.mx/STRING-AUTOMOTIVE/b?ie=UTF8&node=13848848011&ref_=sd_allcat_nav_all_auto
0,Figuras de Acción,https://www.amazon.com.mx/b?ie=UTF8&node=11337429011&ref_=sd_allcat_toys_figures
0,Muñecas,https://www.amazon.com.mx/b?ie=UTF8&node=11337428011&ref_=sd_allcat_toys_dolls
0,Juegos,https://www.amazon.com.mx/b?ie=UTF8&node=11337420011&ref_=sd_allcat_toys_games
0,Juguetes de Construcción,https://www.amazon.com.mx/b?ie=UTF8&node=11337421011&ref_=sd_allcat_toys_building
0,Artes y Manualidades,https://www.amazon.com.mx/b?ie=UTF8&node=11337413011&ref_=sd_allcat_toys_arts
0,Juguetes para Bebés,https://www.amazon.com.mx/b?ie=UTF8&node=11337427011&ref_=sd_allcat_toys_baby
0,Aire Libre y Deportes  ,https://www.amazon.com.mx/b?ie=UTF8&node=11337412011&ref_=sd_allcat_toys_sports
0,Rompecabezas,https://www.amazon.com.mx/b?ie=UTF8&node=11337431011&ref_=sd_allcat_toys_puzzle
0,Juguetes Electrónicos,https://www.amazon.com.mx/b?ie=UTF8&node=11337425011&ref_=sd_allcat_toys_elec
0,Todo en Juegos y Juguetes   ,https://www.amazon.com.mx/juegos-y-juguetes/b?ie=UTF8&node=11260442011&ref_=sd_allcat_all_toys_games
0,Perfil de tu Mascota,https://www.amazon.com.mx/yourpets
0,Perros,https://www.amazon.com.mx/b?ie=UTF8&node=12478521011&ref_=sd_allcat_dogs
0,Gatos,https://www.amazon.com.mx/b?ie=UTF8&node=12478519011&ref_=sd_allcat_cats
0,Aves,https://www.amazon.com.mx/b?ie=UTF8&node=12478517011&ref_=sd_allcat_birds
0,Animales Pequeños,https://www.amazon.com.mx/b?ie=UTF8&node=12478516011&ref_=sd_allcat_small_animals
0,Acuáticos,https://www.amazon.com.mx/b?ie=UTF8&node=12478514011&ref_=sd_allcat_aquatics
0,Reptiles y Anfibios,https://www.amazon.com.mx/b?ie=UTF8&node=12478522011&ref_=sd_allcat_reptiles
0,Todo en Mascotas y Accesorios,https://www.amazon.com.mx/mascotas/b?ie=UTF8&node=11782336011&ref_=sd_allcat_all_pets
0,Amazon Family,https://www.amazon.com.mx/gp/family/signup/welcome?ie=UTF8&ref_=sd_allcat_family
0,Sillas de Coche,https://www.amazon.com.mx/b?ie=UTF8&node=9841070011&ref_=sd_allcat_babycarseats
0,Carriolas y Cochecitos,https://www.amazon.com.mx/b?ie=UTF8&node=9841071011&ref_=sd_allcat_babydiapers
0,Lactancia y Alimentación,https://www.amazon.com.mx/b?ie=UTF8&node=9841064011&ref_=sd_allcat_babycare
0,Seguridad,https://www.amazon.com.mx/b?ie=UTF8&node=9841069011&ref_=sd_allcat_babysafety
0,Actividad y Entretenimiento,https://www.amazon.com.mx/b?ie=UTF8&node=9841059011&ref_=sd_allcat_babyentre
0,Recámara del Bebé,https://www.amazon.com.mx/b?ie=UTF8&node=9841062011&ref_=sd_allcat_babynursery
0,Cambio de Pañales,https://www.amazon.com.mx/b?ie=UTF8&node=9841060011&ref_=sd_allcat_babydiapers
0,Chupones y Mordederas,https://www.amazon.com.mx/b?ie=UTF8&node=9841061011&ref_=sd_allcat_babysoothers
0,Higiene y Cuidado,https://www.amazon.com.mx/b?ie=UTF8&node=9841063011&ref_=sd_allcat_babycare
0,Portabebés,https://www.amazon.com.mx/b?ie=UTF8&node=9841066011&ref_=sd_allcat_babycarriers
0,Todo en Bebé,https://www.amazon.com.mx/beb/b?ie=UTF8&node=9482650011&ref_=sd_allcat_allbaby
0,Ropa,https://www.amazon.com.mx/b?ie=UTF8&node=14093027011&ref_=sd_allcat_women_clothing
0,Zapatos,https://www.amazon.com.mx/b?ie=UTF8&node=14093028011&ref_=sd_allcat_women_shoes
